GID;"COD_CIRCUITO";"MUNICIPIO";"VERTICES"
15;"C_DU_RM_CL_02       ";"C ";"POLYGON ((572038.130474714 6141935.7895644, 572074.800842748 6141901.07682836, 572086.595082759 6141889.91225235, 572109.924298781 6141867.82860433, 572156.580234824 6141796.33708427, 572208.620138873 6141716.59570819, 572260.675018921 6141636.83116412, 572297.606154956 6141580.24095607, 572443.231147091 6141408.93372391, 572528.347851171 6141308.80585181, 572784.396875409 6141007.60015553, 572807.707531431 6140980.17833151, 572842.992651464 6140938.67042747, 572852.913035473 6140923.95436346, 572854.946443475 6140920.93813945, 572915.458731531 6140831.17369137, 572920.294731536 6140823.99977136, 573113.296843715 6140516.87506708, 573159.163339758 6140485.37196305, 573164.370635763 6140481.79535504, 573568.8080191294 6140568.924207432, 573702.845772265 6140571.90149913, 573692.646412255 6140677.69442723, 573691.545420254 6140689.11449124, 573680.518860244 6140803.48687534, 573672.014028236 6140891.70297142, 573667.804620232 6140891.46985142, 573663.801036228 6140891.24821942, 573521.294348095 6140883.35887542, 573431.537740012 6140878.38985141, 573432.207116012 6141069.38581959, 573432.708236013 6141212.37263572, 573432.712332013 6141213.54565972, 573445.508812025 6141299.3657238, 573455.009100034 6141363.08015586, 573469.718508047 6141461.72943596, 573463.044620041 6141466.14492396, 573441.305964021 6141480.52757997, 573426.053772007 6141490.61845998, 573314.896683903 6141564.16121205, 573298.475339888 6141575.02566006, 573295.848875885 6141576.76338806, 573294.908939885 6141577.38518006, 573288.849771879 6141581.39410807, 573249.849899843 6141601.53545209, 573245.469963838 6141603.79746809, 573244.017419837 6141604.54767609, 573235.86234783 6141608.75935609, 573037.378507645 6141684.78716416, 572980.751851592 6141706.47753218, 572884.907147503 6141753.60095623, 572873.616779492 6141759.15196423, 572775.226795401 6141807.52674828, 572682.269451314 6141838.53052431, 572677.86221931 6141840.00047631, 572668.005771301 6141841.70626831, 572481.461643127 6141873.98985234, 572372.010251025 6141892.93170836, 572125.720202796 6141935.5550684, 572051.078794726 6141948.08982041, 572048.070282723 6141945.23196441, 572045.479082721 6141942.7703644, 572038.130474714 6141935.7895644))"
16;"C_DU_RM_CL_11       ";"C ";"POLYGON ((574556.8798916825 6139197.991285089, 574537.5862656614 6139154.657666282, 574494.7937712293 6139063.158267619, 574617.1644468047 6139004.13768113, 574688.907853183 6138970.02223364, 574772.829965261 6138930.2024576, 574783.822733271 6138924.98652159, 574784.966861272 6138919.26908159, 574786.475757274 6138911.72876158, 574832.301325316 6138924.90434559, 574851.031949334 6138930.2896576, 574907.029645386 6138936.0954496, 575009.502605481 6138946.71976961, 575110.9829074673 6138956.715003482, 575206.761933665 6138967.17135363, 575312.739661764 6138978.15909764, 575412.360909857 6138988.48767365, 575529.312333965 6138994.14312966, 575651.601678079 6138999.93148166, 575769.693070189 6139005.52120967, 575886.098574298 6139019.28028168, 576010.007246413 6139033.92623369, 576109.663694506 6139045.70565771, 576221.45812661 6139058.91976972, 576233.9722884052 6139060.3103887625, 576226.431854615 6139174.33256983, 576216.761358606 6139274.96943392, 576194.456462585 6139580.0428422, 576180.730510572 6139559.23628218, 576088.244046486 6139494.47007412, 576079.707150478 6139493.92057012, 576070.392206469 6139493.32095412, 575972.744718379 6139487.03548212, 575845.90740626 6139478.87106611, 575733.608430156 6139471.6424581, 575728.643694151 6139471.3228421, 575726.074446149 6139471.1574661, 575724.011918147 6139471.0246981, 575666.9256044282 6139469.066897179, 575617.1855029205 6139461.108480939, 575490.8456450914 6139417.834592627, 575479.000333919 6139398.82751403, 575476.642541916 6139397.99477803, 575430.317581873 6139377.41708201, 575376.2049159444 6139358.08355128, 575373.0028298879 6139497.05408613, 575345.729805795 6139569.77506619, 575345.542029794 6139571.38242619, 575236.024536093 6139559.894458577, 575230.5983551716 6139603.550550536, 575214.059789672 6139601.54201022, 575142.512877605 6139593.69346622, 575080.613453548 6139586.90335421, 575079.906125547 6139585.42908221, 575052.685389522 6139528.69103416, 575052.593709521 6139528.49989816, 575048.382573518 6139519.72217015, 575048.247181517 6139519.78565815, 575008.52014148 6139538.43449016, 574965.53495744 6139558.61263418, 574920.134733398 6139579.9246022, 574873.497229355 6139601.81721022, 574781.3921337535 6139645.19346603, 574731.6417065567 6139562.798267464, 574680.4756999204 6139462.459734972, 574612.0328598748 6139306.968234287, 574600.7364687992 6139286.368932914, 574556.8798916825 6139197.991285089))"
17;"C_DU_RM_CL_10       ";"C ";"POLYGON ((574357.792652874 6139840.80284245, 574456.318188966 6139797.24514641, 574532.240141037 6139761.69906637, 574613.197357112 6139723.79535434, 574690.757133185 6139687.4823303, 574770.218125259 6139650.27925827, 574786.030541273 6139642.87593026, 574873.497229355 6139601.81721022, 574920.134733398 6139579.9246022, 574965.53495744 6139558.61263418, 575008.52014148 6139538.43449016, 575048.247181517 6139519.78565815, 575048.382573518 6139519.72217015, 575052.593709521 6139528.49989816, 575052.685389522 6139528.69103416, 575079.906125547 6139585.42908221, 575080.613453548 6139586.90335421, 575142.512877605 6139593.69346622, 575214.059789672 6139601.54201022, 575230.5983551716 6139603.550550536, 575236.024536093 6139559.894458577, 575345.7256825938 6139571.628282974, 575331.6876569886 6139696.268934558, 575331.4749596311 6139696.268934558, 575315.922669767 6139826.07817043, 575306.660813758 6139905.72108251, 575294.9725924669 6140038.631602597, 575321.363563312 6140093.879990161, 575344.632877794 6140148.91746673, 575360.696141808 6140183.11375477, 575284.769549738 6140226.19129081, 575291.0625811666 6140240.233898424, 575284.9602931585 6140380.907695664, 575186.179277646 6140377.26447495, 575184.066669644 6140481.28975504, 575181.933357642 6140586.32057114, 575181.895437642 6140588.18703514, 575137.467853601 6140586.49989914, 575038.415757508 6140443.73493901, 575037.452525507 6140442.34652301, 574948.675405425 6140490.50946705, 574874.421325356 6140530.79337109, 574803.408749289 6140569.31887512, 574711.721229204 6140619.06076317, 574609.484429109 6140674.52572322, 574554.161357057 6140593.10969115, 574553.891981057 6140592.71324315, 574461.978732971 6140457.44927502, 574452.451852963 6140436.345563, 574418.814348931 6140361.83292293, 574417.01505293 6140357.84725893, 574361.1438958177 6140239.774432827, 574357.792652874 6139840.80284245))"
18;"C_DU_RM_CL_09       ";"C ";"POLYGON ((573475.528172053 6139399.44876204, 573463.384076041 6139398.60757803, 573479.813932057 6139343.02908198, 573492.155084068 6139201.18111385, 573502.562668078 6139081.55752974, 573509.568876085 6138996.87605766, 573526.6716281 6138790.15935347, 573534.782668108 6138692.12460138, 573535.097932108 6138688.31362537, 573643.431372209 6138697.03964138, 573743.241036302 6138705.07909739, 573847.353612399 6138713.4650494, 573951.064460496 6138721.8186814, 574054.889452592 6138730.18149741, 574163.509452694 6138738.93052142, 574163.270828693 6138723.84892141, 574163.079916693 6138711.78645739, 574161.988876692 6138642.83964133, 574295.839916817 6138584.53906528, 574327.089228846 6138599.11426529, 574343.084044861 6138634.29992932, 574347.977228865 6138645.06405733, 574363.160652879 6138678.46469736, 574363.77975688 6138679.82632936, 574364.27991688 6138680.92674537, 574503.15265301 6138705.02325739, 574535.7484172457 6138710.679103383, 574605.936397106 6138722.8577534, 574607.874701107 6138723.19410541, 574663.753613159 6138746.09525743, 574702.139565195 6138761.82716144, 574703.550829196 6138762.40552944, 574719.933325212 6138765.14927344, 574799.770509286 6138778.52015346, 574799.902733286 6138778.54223346, 574786.475757274 6138911.72876158, 574784.966861272 6138919.26908159, 574783.822733271 6138924.98652159, 574772.829965261 6138930.2024576, 574688.907853183 6138970.02223364, 574617.1644468047 6139004.13768113, 574494.7937712293 6139063.158267619, 574537.5862656614 6139154.657666282, 574596.0850136505 6139281.717477766, 574611.3683662821 6139307.63272788, 574610.0393790967 6139309.626208657, 574679.1467127352 6139463.788722157, 574730.977212964 6139562.798267464, 574781.3921337535 6139645.19346603, 574690.757133185 6139687.4823303, 574613.197357112 6139723.79535434, 574532.240141037 6139761.69906637, 574456.318188966 6139797.24514641, 574357.792652874 6139840.80284245, 574357.1257458501 6139802.254550251, 574356.692940873 6139772.64876238, 574350.895052868 6139733.05103435, 574349.793356867 6139725.52745034, 574349.394380867 6139722.80268234, 574330.339564849 6139624.87077824, 574324.491340843 6139594.81372222, 574322.651916842 6139598.98405822, 574268.139212791 6139722.56828234, 574267.51716479 6139723.97826634, 574177.523244707 6139674.04156229, 574100.240972635 6139631.15842625, 573944.60020449 6139544.79506617, 573941.859980487 6139543.27452217, 573892.750828441 6139641.89897026, 573892.452236441 6139642.49855426, 573764.394700322 6139572.2847622, 573672.334348236 6139521.80805815, 573671.073036235 6139521.11657015, 573563.0616334585 6139509.886648878, 573567.8076416628 6139460.844564101, 573570.9716471323 6139406.423670025, 573475.528172053 6139399.44876204))"
661;"F_DU_RM_CL_11       ";"F ";"POLYGON ((580806.5223943496 6145402.467767578, 580954.7629288707 6145490.841932388, 581157.8904830563 6145612.681752015, 581494.8600531393 6145604.935325116, 581588.8175471363 6145612.729162634, 581933.786801305 6145820.655836381, 582049.5641537316 6145624.543178189, 582052.6027898283 6145465.499640944, 582474.8687136656 6145775.762577277, 582470.9098423452 6146197.536982847, 582723.1490934939 6146376.375389815, 582597.5473274986 6146569.658936451, 582232.1458301232 6146308.0260396525, 582231.9348960748 6146308.992234987, 581886.8965279427 6146524.865301083, 581678.2854638987 6146399.174855459, 581629.5575158927 6146488.3113457095, 581525.5649439285 6146663.613109869, 580941.4094947921 6146328.658505192, 580622.4310748415 6146134.9086501105, 580397.9647793208 6146021.494100794, 580251.4709864546 6145934.070385696, 580416.8672042068 6145700.152877732, 580464.1232664217 6145650.534012407, 580615.3426655093 6145688.338862179, 580653.1475152812 6145596.189540859, 580738.2084272681 6145454.421354215, 580806.5223943496 6145402.467767578))"
1;"E_DU_RM_CL_14       ";"E ";"POLYGON ((584686.721701513 6138684.38703459, 584711.777238517 6138674.10127336, 584812.178966611 6138635.06040932, 585061.437458272 6138658.45112993, 585196.781654969 6138670.31506536, 585265.243703033 6138676.59068136, 585407.367447165 6138689.61845737, 585389.493015149 6138648.00284133, 585320.2184957314 6138641.255541445, 585237.4532244105 6138446.915486479, 585231.760456547 6138237.79857693, 585226.114248542 6138071.25710477, 585220.573384537 6137907.82654462, 585219.652616536 6137880.66619259, 585215.737416533 6137765.18260849, 585215.644360532 6137762.43537648, 585224.891176541 6137760.12395248, 585319.332360629 6137736.51672046, 585330.425096639 6137736.22488046, 585411.861480715 6137734.08219246, 585428.781000731 6137733.63697646, 585452.742312753 6137745.17227247, 585474.177096773 6137755.49137648, 585481.07226478 6137758.81089648, 585506.547144803 6137771.07486449, 585601.594632892 6137871.86936059, 585736.965289018 6138012.98168072, 585822.346281097 6138115.86299281, 585849.294089123 6138148.33428884, 585859.212553132 6138164.39044886, 585891.906761162 6138217.31697691, 585909.778889179 6138246.24891293, 586013.505385276 6138351.76292903, 586027.307849288 6138365.80340905, 586060.648585319 6138399.71857708, 586071.86666533 6138408.26446509, 586172.486153424 6138484.91684916, 586181.618121432 6138491.87352116, 586253.623753499 6138555.23009722, 586286.72365753 6138570.50488124, 586328.509769569 6138589.78827325, 586408.182345643 6138622.19316928, 586498.442985727 6138658.90436932, 586525.146505752 6138673.70436933, 586613.291497834 6138722.55720138, 586689.205802457 6138778.06597377, 586703.141512419 6138785.80803486, 586716.979288385 6138794.99132147, 586704.743704373 6138824.2357055, 586637.980809857 6138973.87454561, 586552.100457777 6139180.5814258, 586485.589595788 6139352.13980359, 586384.974648076 6139311.47535395, 586328.656376023 6139288.84572193, 586279.176855977 6139267.59388191, 586177.676439883 6139228.31324188, 586079.535127791 6139190.32498584, 586052.122679766 6139179.71413783, 586032.323607747 6139171.84917782, 586018.487159734 6139165.79656982, 585926.225682031 6139128.78134115, 585914.225487342 6139123.36189839, 585863.89231159 6139099.61967376, 585860.918935588 6139098.48975375, 585813.413367543 6139081.05868174, 585726.867608962 6139044.39287527, 585689.318612675 6139033.55398974, 585685.060479076 6139043.61866916, 585649.834101116 6139131.10395948, 585638.99521559 6139159.36248246, 585556.155161926 6139131.10395948, 585480.282963244 6139100.52281817, 585327.401992636 6139038.87646567, 585324.011272633 6139037.62635367, 585159.374531061 6138970.84329491, 585129.954698919 6138958.06889412, 585025.823977257 6138917.81017645, 584974.726374063 6138893.80978707, 584960.016457992 6138887.22903514, 584944.532335812 6138879.87407711, 584786.769768133 6138809.74462546, 584761.68365611 6138793.54545744, 584743.23874747 6138774.58204628, 584732.399861944 6138764.90446992, 584712.27050311 6138727.74257669, 584699.883205366 6138699.48405371, 584686.721701513 6138684.38703459))"
2;"E_DU_RM_CL_15       ";"E ";"POLYGON ((585326.0317807966 6139746.22465206, 585381.2895253039 6139615.462050554, 585438.2345291852 6139469.092299837, 585424.8597190761 6139463.818720158, 585528.4909510643 6139200.305741551, 585531.8925214928 6139191.871920953, 585556.155161926 6139131.10395948, 585638.99521559 6139159.36248246, 585649.834101116 6139131.10395948, 585685.060479076 6139043.61866916, 585689.318612675 6139033.55398974, 585726.867608962 6139044.39287527, 585813.413367543 6139081.05868174, 585860.918935588 6139098.48975375, 585863.89231159 6139099.61967376, 585914.225487342 6139123.36189839, 585926.225682031 6139128.78134115, 585986.180471704 6139151.6641858, 585995.034327712 6139155.53724181, 586018.487159734 6139165.79656982, 586032.323607747 6139171.84917782, 586036.318807751 6139173.59682582, 586052.122679766 6139179.71413783, 586079.535127791 6139190.32498584, 586175.545655881 6139227.48847387, 586177.676439883 6139228.31324188, 586279.176855977 6139267.59388191, 586284.124983982 6139269.72389791, 586326.975000022 6139288.17013793, 586328.656376023 6139288.84572193, 586384.974648076 6139311.47535395, 586483.045080167 6139350.88156199, 586485.597752169 6139351.90725799, 586552.100457777 6139180.5814258, 586637.980809857 6138973.87454561, 586704.743704373 6138824.2357055, 586713.885400382 6138802.38616948, 586715.625176384 6138798.22786548, 586716.979288385 6138794.99132147, 586754.87714442 6138825.6133055, 586819.28623248 6138876.59708155, 586890.625880547 6138933.0667776, 587077.28066472 6139017.89855368, 587093.414328735 6139024.88888969, 587249.7465710853 6139096.527287947, 586791.4267992682 6140221.064460039, 586709.2127371072 6140217.756997768, 586709.2127371072 6140217.756997768, 586700.93512837 6140237.80981882, 586649.644696322 6140231.38665081, 586615.02376829 6140227.05103481, 586099.67947981 6140162.51397875, 585919.714327642 6140139.97673072, 585893.478231618 6140136.69116272, 585703.762903441 6140112.9328267, 585363.530615124 6140070.32527466, 585387.962071147 6140011.69833061, 585439.608183195 6139887.76658649, 585473.149271226 6139807.28002641, 585475.268439228 6139802.19506641, 585470.334967224 6139800.28927441, 585326.0317807966 6139746.22465206))"
3;"E_DU_RM_CL_13       ";"E ";"POLYGON ((583096.238197013 6138709.69685739, 583102.188821018 6138662.47090535, 583123.584405038 6138492.66565719, 583127.382677042 6138487.10136919, 583314.710229216 6138212.67826493, 583330.975317231 6138188.85087291, 583337.681365238 6138179.0270009, 583574.345077458 6138189.04296891, 583622.237397503 6138182.2020729, 583673.55067755 6138159.96940088, 583741.968437614 6138024.86223275, 583831.160341697 6137825.77650457, 583870.500629734 6137728.29426448, 583883.066837745 6137725.78136848, 583893.799477756 6137723.63519247, 583947.470613806 6137712.90223246, 583961.982037819 6137722.84834447, 584050.787797902 6137783.71522453, 584262.419286099 6137928.76620067, 584329.348214161 6137974.63887271, 584330.108438162 6137974.83976871, 584360.959478191 6137982.99202472, 584420.538966246 6137998.73599273, 584445.106454269 6137999.05493673, 584456.58203828 6137999.20392873, 584552.243030369 6138000.44620073, 584562.259830378 6137999.31999273, 584576.077142391 6137997.76645673, 584657.679254467 6137988.59176872, 584670.390230479 6137987.16268072, 584672.685078481 6137986.90469672, 584802.678806602 6137920.20623266, 584833.850326631 6137902.49100064, 584910.036182702 6137859.1935926, 584914.398198706 6137856.7145206, 584919.303638711 6137855.7891446, 584933.088278723 6137853.1886006, 585005.051606791 6137839.61244058, 585065.293238847 6137835.45832858, 585102.893238882 6137832.86565658, 585104.257238883 6137832.77157658, 585122.7295909 6137823.36847257, 585214.392342985 6137776.70837652, 585214.485398986 6137779.45560853, 585218.400598989 6137894.93919263, 585219.32136699 6137922.09954466, 585224.862230995 6138085.53010481, 585230.508439 6138252.07157697, 585238.2219131497 6138448.452863958, 585320.2184957314 6138641.255541445, 585389.493015149 6138648.00284133, 585407.367447165 6138689.61845737, 585265.243703033 6138676.59068136, 585196.781654969 6138670.31506536, 585061.437458272 6138658.45112993, 584812.178966611 6138635.06040932, 584711.777238517 6138674.10127336, 584686.721701513 6138684.38703459, 584677.431228205 6138680.90310709, 584634.770326446 6138673.62242536, 584437.361686262 6138678.27250536, 584377.688438206 6138679.67804136, 584335.056118167 6138680.68229737, 584181.638230024 6138684.29599337, 584060.493621911 6138687.14956137, 583904.282773765 6138690.82908138, 583772.945877643 6138693.92268138, 583727.1368536 6138695.00162538, 583655.922677534 6138696.67909738, 583538.328757424 6138699.44892138, 583422.173237316 6138702.18504939, 583304.270933207 6138704.96229739, 583213.288885122 6138707.10540139, 583189.251221099 6138707.67157739, 583097.273621014 6138709.83804139, 583096.217237013 6138709.86296939, 583096.238197013 6138709.69685739))"
4;"C_DU_RM_CL_05       ";"C ";"POLYGON ((574375.114380891 6142062.50041252, 574375.074828891 6142062.43106852, 574377.897484893 6142060.77737251, 574379.359436895 6142059.92086051, 574451.092044961 6142017.89465247, 574522.980941028 6141975.77695643, 574531.885645037 6141970.55999643, 574636.424077134 6141909.31362837, 574643.511149141 6141906.60876437, 574714.274637206 6141879.60034835, 574747.132237237 6141867.05954833, 574844.950573328 6141829.7251483, 574854.967021337 6141825.90217229, 574858.502669341 6141826.8331803, 574973.079213448 6141857.00476432, 575034.394701505 6141850.41398032, 575035.770509506 6141849.72463632, 575159.669645621 6141787.65010826, 575175.867405636 6141779.53490825, 575204.606797663 6141765.13615624, 575236.808877693 6141741.79478022, 575267.801293722 6141719.3302682, 575539.8380759866 6141520.712048971, 575865.947989957 6141906.99947267, 575809.553428398 6141959.31562454, 575764.690921822 6142001.78733923, 575695.498591929 6142066.76062462, 575609.57071883 6142147.76627913, 575532.502839194 6142220.33384463, 575520.830149395 6142230.74082107, 575441.793382322 6142304.43346511, 575383.851837778 6142358.85913923, 575326.613467318 6142414.26925707, 575316.206490871 6142423.12925053, 575308.893480394 6142430.02035656, 575286.182162277 6142452.21967149, 575254.628401816 6142481.97035993, 575208.950577147 6142527.9486966, 575160.56814444 6142576.03061731, 575102.569327591 6142631.32482612, 575015.420846316 6142719.97586741, 574930.375949072 6142800.8135966, 574802.658347204 6142928.83171047, 574797.960141284 6142920.16822131, 574695.836557189 6142773.20758118, 574649.236557146 6142706.14793311, 574627.204365125 6142651.15593306, 574583.179213084 6142541.26985296, 574562.419277065 6142489.45356491, 574542.612621047 6142440.01638087, 574540.428557044 6142433.42886086, 574502.385037009 6142318.68047675, 574476.435148985 6142240.40982068, 574378.203340893 6142067.92425252, 574375.114380891 6142062.50041252))"
5;"C_DU_RM_CL_15       ";"C ";"POLYGON ((574740.844429231 6140977.2354515, 574740.805773231 6140977.1204755, 574944.573773421 6140993.46005952, 575039.147149509 6141001.04354753, 575062.861517531 6141002.94517953, 575169.08922963 6141011.46325954, 575269.999117724 6141019.55484354, 575371.808141819 6141027.71865155, 575429.004397872 6141032.30505156, 575430.474765873 6141031.23935555, 575440.377037883 6141024.06287555, 575444.551629887 6141021.03727555, 575478.132941918 6141034.28572356, 575478.953005919 6141034.60927556, 575493.927245933 6141040.51705156, 575507.820141946 6141041.30223556, 575736.275342158 6141054.21397958, 575858.452622272 6141061.11913158, 575958.056846365 6141066.74860359, 576016.001934419 6141070.02345159, 576047.457230448 6141071.80124359, 576065.322766465 6141072.81100359, 576103.814478501 6141074.9864596, 576117.593038513 6141075.7651476, 576136.977038531 6141084.4593556, 576167.17134256 6141098.00233162, 576319.234446701 6141166.20693968, 576337.678798718 6141174.47977169, 576458.371214831 6141228.61369174, 576500.56852687 6141247.54041176, 576535.359118902 6141263.14485977, 576543.508991212 6141266.98575141, 576518.267937354 6141289.60337041, 576417.643538709 6141384.58217574, 576270.858112304 6141524.06154022, 576212.753448322 6141575.66384416, 575865.947989957 6141906.99947267, 575539.8380759866 6141521.009196241, 575267.801293722 6141719.3302682, 575236.808877693 6141741.79478022, 575204.606797663 6141765.13615624, 575175.867405636 6141779.53490825, 575159.669645621 6141787.65010826, 575035.770509506 6141849.72463632, 575034.394701505 6141850.41398032, 575031.236333502 6141841.01922831, 574967.280845442 6141650.78057213, 574920.959949399 6141512.997468, 574877.660941359 6141384.20229988, 574825.33780531 6141228.56485974, 574770.621325259 6141065.80834759, 574740.844429231 6140977.2354515))"
