GID;"COD_CIRCUITO";"TURNO_HORARIO";X;Y
12249;"D_DU_RM_CL_02       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";576642.263245549;6143576.596851231
12250;"D_DU_RM_CL_02       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";576479.000093787;6143748.99991395
12253;"D_DU_RM_CL_02       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";576415.3786929523;6142541.663772185
12255;"D_DU_RM_CL_02       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";575849.2934516666;6143015.343227335
12259;"D_DU_RM_CL_02       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";576158.2269896596;6142940.5135211665
12260;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";585233.1377300043;6138835.858430831
12262;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";586456.0315198587;6138870.213475734
12263;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";585909.2803724663;6139076.389382834
12264;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";585905.1911484553;6139078.814530048
12265;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";586385.1946922481;6139005.649458539
12267;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";585528.6343919623;6138957.153128176
12270;"E_DU_RM_CL_16       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";587714.6119176437;6140338.372708462
12272;"E_DU_RM_CL_16       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";587569.1652733851;6140331.528160498
12273;"E_DU_RM_CL_16       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";586932.6676208144;6140267.480406157
12275;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";585488.1614181423;6138132.87319077
12276;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";585604.5268235517;6138122.840954691
12277;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";585668.4693296673;6138254.846189744
12278;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";585570.6205726055;6138297.06361309
12279;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";585344.8230652858;6138332.457853113
12282;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";585431.3862626101;6138245.799599028
12283;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";585738.346444168;6138066.739493116
12284;"E_DU_RM_CL_16       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";587309.1254247488;6140006.539269399
12286;"E_DU_RM_CL_16       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";587624.6308854684;6140720.576664921
12291;"E_DU_RM_CL_16       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";586989.215124468;6140817.592253592
12293;"E_DU_RM_CL_16       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";586973.8252336767;6140983.205803205
12294;"E_DU_RM_CL_16       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";587756.999976291;6140312.99991075
12297;"E_DU_RM_CL_16       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";588075.000104587;6139795.00003827
12298;"E_DU_RM_CL_16       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";588028.8193029695;6139828.961906517
12300;"D_DU_RM_CL_06       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";578471.000095642;6141211.00003958
12305;"G_DU_RM_CL_02       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572137.5351607281;6143942.437719046
12309;"D_DU_RM_CL_02       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";576202.9054572823;6143044.011781549
12310;"D_DU_RM_CL_02       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";575975.000093318;6142715.00004098
12313;"D_DU_RM_CL_02       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";576285.4053780744;6144109.382312258
12315;"E_DU_RM_CL_16       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";588009.5809491387;6139961.809877237
12318;"D_DU_RM_CL_02       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";576332.0970616692;6144185.256298101
12321;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572120.626113329;6141423.509012938
12322;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572142.8465920577;6141390.004697354
12326;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572628.5785551259;6141189.72257619
12327;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572460.7353300648;6141252.835296349
12328;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572444.0128085912;6141397.644646558
12330;"E_DU_RM_CL_16       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";587871.3409657471;6140068.760834794
12332;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";571597.9948737748;6140986.339736299
12334;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572412.2036331621;6141167.216937703
12335;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572712.7400470485;6141085.831907534
12337;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";571681.0546743127;6141354.808516584
12338;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";571931.6574384101;6141558.568607869
12342;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";571815.6714301063;6140900.762170777
12344;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572111.5240741947;6140753.976668696
12347;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";571716.8003665291;6141239.965973507
12348;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572000.9126733725;6140980.764498496
